Player Name,Team,Apts,Errors,Attempts,Avg Per Match,Success %,Total
Pekovic Nikola,SRB,0,0,0,,,0
Batak Aleksa,SRB,0,0,0,,,0
Vincic Dejan,SLO,0,2,0,0,0,2
Klobucar Jan,SLO,0,0,1,0,0,1
Kovačič Jani,SLO,0,0,0,,,0
Dronkers Just,NED,0,0,0,,,0
Ottevanger Steven,NED,0,0,0,,,0
Baranov Evgeny,RUS,0,0,0,,,0
Golubev Valentin,RUS,0,0,0,,,0
Watten Dustin,USA,0,0,0,,,0
Shoji Erik,USA,0,0,0,,,0
Pereira Jordan,CAN,0,0,0,,,0
Bann Blair Cameron,CAN,0,0,0,,,0
Wojtaszek Damian,POL,0,0,0,,,0
Zatorski Pawel,POL,0,0,0,,,0
Balaso Fabio,ITA,0,0,0,,,0
Scanferla Leonardo,ITA,0,0,0,,,0
Federici Filippo,ITA,0,0,0,,,0
Nascimento Maique Reis,BRA,0,0,0,,,0
Hoss Thales,BRA,0,0,0,,,0
Moreira Roque Felipe,BRA,0,0,4,0,0,4
Macdonald Steven,AUS,0,0,0,,,0
Janusz Marcin,POL,0,0,0,,,0
Vucicevic Bozidar,SRB,0,1,0,0,0,1
Oya Masaki,JPN,0,1,0,0,0,1
Massimino Franco,ARG,0,0,0,,,0
Grebennikov Jenia,FRA,0,0,0,,,0
Pernuš Gregor,SLO,0,0,0,,,0
Maase Lukas,GER,0,0,3,0,0,3
Danani Santiago,ARG,0,0,0,,,0
Iakovlev Ivan,RUS,0,0,0,,,0
